nom,sexe,date_de_naissance,region,ethnie,langue,religion,parti_politique
Felix Kwakye Ofosu,N/A,"Monday, 10th May, 1982",Abakrampa,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Felix Akwetey Okle,N/A,"Friday, 2nd February, 1968",Nungua,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Francis  Asenso-Boakye,N/A,"Saturday, 24th September, 1977",Maase,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Francis Kwabena Berepong Owusu-Akyaw,N/A,"Saturday, 30th June, 1979",Juaben-Ashanti,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Francis-Xavier Kojo Sosu,N/A,"Monday, 12th February, 1979",Denu,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Frank  Annoh-Dompreh,N/A,"Tuesday, 25th October, 1977",Adoagyiri,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Frank  Yeboah,N/A,"Wednesday, 13th November, 1974",Darbaa,N/A,N/A,christian,New Patriotic Party (NPP)
Frank Asiedu Bekoe,N/A,"Saturday, 9th July, 1977",Akropong,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Frank  Afriyie,N/A,"Monday, 18th December, 1978",Have-Etoe,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Fred Kyei Asamoah,N/A,"Saturday, 19th November, 1977",Akumadan,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Fred Kwesi Agbenyo,N/A,"Monday, 2nd February, 1976",Akpafu Mempeasem,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Frederick Yaw Ahenkwah,N/A,"Thursday, 24th June, 1982",Sampa,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Frederick  Addy,N/A,"Saturday, 15th March, 1986",Suaman Dadieso,N/A,N/A,Christain,New Patriotic Party (NPP)
Geoffrey  Kini,N/A,"Tuesday, 9th March, 1971",Bakpa New Town,N/A,N/A,Chrétien,National Democratic Congress (NDC)
George Kweku Ricketts-Hagan,N/A,"Wednesday, 21st August, 1963",Cape Coast,N/A,N/A,Chrétien,National Democratic Congress (NDC)
George Kwame Aboagye,N/A,"Saturday, 24th August, 1968",Akim Manso,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Gideon  Boako,N/A,"Friday, 16th December, 1983",Bomaa,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Gizella Akushika Tetteh-Agbotui,N/A,"Monday, 30th November, 1970",Awutu Obrachire,N/A,N/A,Chrétien-Methodist,National Democratic Congress (NDC)
Gloria  Owusu,N/A,"Tuesday, 22nd April, 1986",Adwumakaase,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Godfred Seidu Jasaw,N/A,"Monday, 14th March, 1977",Jeyiri,N/A,N/A,Musulman,National Democratic Congress (NDC)
Godwin Animli Dorgbadzi-Dorani,N/A,"Thursday, 25th March, 1982",Mafi-Devime,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Grace  Ayensu-Danquah,N/A,"Wednesday, 10th May, 1967",Essikado,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Habib  Iddrisu,N/A,"Wednesday, 27th November, 1985",Tolon,N/A,N/A,Musulman,New Patriotic Party (NPP)
Hamza  Adam,N/A,"Thursday, 30th October, 1975",Kumbungu,N/A,N/A,Musulman,National Democratic Congress (NDC)
Haruna  Iddrisu,N/A,"Tuesday, 8th September, 1970",Wayamba,N/A,N/A,Musulman,National Democratic Congress (NDC)
Helen Adjoa Ntoso,N/A,"Tuesday, 26th May, 1959",Kete Krachi,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Ibrahim Murtala Muhammed,N/A,"Saturday, 14th December, 1974",Tamale,N/A,N/A,Musulman,National Democratic Congress (NDC)
Ida Adjoa Asiedu,N/A,"Tuesday, 27th April, 1982",Koforidua,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Isaac Adjei Mensah,N/A,"Tuesday, 26th March, 1963",Dompim No. 1,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Isaac Ashai Odamtten,N/A,"Saturday, 13th May, 1972",Tema,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Isaac  Adongo,N/A,"Thursday, 12th October, 1972",Bolgatanga,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Isaac Yaw Opoku,N/A,"Tuesday, 27th August, 1957",Offinso,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Isaac Awuku Yibor,N/A,"Wednesday, 8th August, 1979",Mafi-Avedo,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Isaac  Boamah-Nyarko,N/A,"Thursday, 22nd March, 1979",Effiduase,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Issah Salifu Taylor,N/A,"Tuesday, 3rd February, 1970",Tarkwa Banso,N/A,N/A,Musulman,National Democratic Congress (NDC)
Issah  Atta,N/A,"Saturday, 2nd May, 1992",Yendi,N/A,N/A,Musulman,National Democratic Congress (NDC)
Issifu  Mahmoud,N/A,"Saturday, 21st February, 1981",Binduri,N/A,N/A,Musulmanic,National Democratic Congress (NDC)
James Gyakye Quayson,N/A,"Thursday, 9th October, 1952",Assin Bereku,N/A,N/A,Chrétien,National Democratic Congress (NDC)
James  Agalga,N/A,"Sunday, 10th June, 1979",Chuchuliga,N/A,N/A,Chrétien Catholic,National Democratic Congress (NDC)
James  Enu,N/A,"Sunday, 29th August, 1971",CAPE COAST,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Jean-Marie  Formadi,N/A,"Wednesday, 4th May, 1977",Nkonya - Wurupong,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Jerry Ahmed Shaib,N/A,"Monday, 9th August, 1976",Accra,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Joana  Gyan Cudjoe,N/A,"Monday, 7th May, 1984",Wassa Agona Amenfi,N/A,N/A,Chrétien,National Democratic Congress (NDC)
John Kwabena Bless Oti,N/A,"Friday, 19th October, 1979","Saboba , N/R",N/A,N/A,Chrétien,National Democratic Congress (NDC)
John Abdulai Jinapor,N/A,"Friday, 8th June, 1979",Buipe,N/A,N/A,Chrétien,National Democratic Congress (NDC)
John Ntim Fordjour,N/A,"Wednesday, 28th May, 1986",Assin Kruwa,N/A,N/A,Chrétien,New Patriotic Party (NPP)
John  Darko,N/A,"Monday, 4th June, 1979",Bremang-Kumasi,N/A,N/A,Chrétien,New Patriotic Party (NPP)
John Setor Dumelo,N/A,"Friday, 3rd February, 1984",Likpe Bala,N/A,N/A,Catholic,National Democratic Congress (NDC)
John Kwame Adu Jack,N/A,"Saturday, 16th September, 1967",Dormaa Antwirifo,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Joseph Akuerteh Tettey,N/A,"Monday, 5th August, 1974",Kpone Appolonia,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Joseph Appiah Boateng,N/A,"Sunday, 24th August, 1975",Obo Kwahu,N/A,N/A,Chrétien,National Democratic Congress (NDC)
